image_path,label
C:/image forgery/real\Au_ani_10205.jpg,1
C:/image forgery/real\Au_ani_10206.jpg,1
C:/image forgery/real\Au_ani_10207.jpg,1
C:/image forgery/real\Au_ani_10208.jpg,1
C:/image forgery/real\Au_ani_10209.jpg,1
C:/image forgery/real\Au_ani_10210.jpg,1
C:/image forgery/real\Au_ani_10211.jpg,1
C:/image forgery/real\Au_ani_10212.jpg,1
C:/image forgery/real\Au_ani_10213.jpg,1
C:/image forgery/real\Au_ani_10214.jpg,1
C:/image forgery/real\Au_ani_10215.jpg,1
C:/image forgery/real\Au_ani_10216.jpg,1
C:/image forgery/real\Au_ani_10217.jpg,1
C:/image forgery/real\Au_ani_10218.jpg,1
C:/image forgery/real\Au_ani_10219.jpg,1
C:/image forgery/real\Au_ani_10220.jpg,1
C:/image forgery/real\Au_ani_10221.jpg,1
C:/image forgery/real\Au_ani_10222.jpg,1
C:/image forgery/real\Au_ani_10223.jpg,1
C:/image forgery/real\Au_ani_10224.jpg,1
C:/image forgery/real\Au_ani_20001.jpg,1
C:/image forgery/real\Au_ani_20002.jpg,1
C:/image forgery/real\Au_ani_20003.jpg,1
C:/image forgery/real\Au_ani_20004.jpg,1
C:/image forgery/real\Au_ani_20005.jpg,1
C:/image forgery/real\Au_ani_20006.jpg,1
C:/image forgery/real\Au_ani_20007.jpg,1
C:/image forgery/real\Au_ani_20008.jpg,1
C:/image forgery/real\Au_ani_20009.jpg,1
C:/image forgery/real\Au_ani_20010.jpg,1
C:/image forgery/real\Au_ani_20011.jpg,1
C:/image forgery/real\Au_ani_20012.jpg,1
C:/image forgery/real\Au_ani_20013.jpg,1
C:/image forgery/real\Au_ani_20014.jpg,1
C:/image forgery/real\Au_ani_20015.jpg,1
C:/image forgery/real\Au_ani_20016.jpg,1
C:/image forgery/real\Au_ani_20017.jpg,1
C:/image forgery/real\Au_ani_20018.jpg,1
C:/image forgery/real\Au_ani_20019.jpg,1
C:/image forgery/real\Au_ani_20020.jpg,1
C:/image forgery/real\Au_ani_20021.jpg,1
C:/image forgery/real\Au_ani_20022.jpg,1
C:/image forgery/real\Au_ani_20023.jpg,1
C:/image forgery/real\Au_ani_20024.jpg,1
C:/image forgery/real\Au_ani_20025.jpg,1
C:/image forgery/real\Au_ani_20026.jpg,1
C:/image forgery/real\Au_ani_20027.jpg,1
C:/image forgery/real\Au_ani_20028.jpg,1
C:/image forgery/real\Au_ani_20029.jpg,1
C:/image forgery/real\Au_ani_20030.jpg,1
C:/image forgery/real\Au_ani_20031.jpg,1
C:/image forgery/real\Au_ani_20032.jpg,1
C:/image forgery/real\Au_ani_20033.jpg,1
C:/image forgery/real\Au_ani_20034.jpg,1
C:/image forgery/real\Au_ani_20035.jpg,1
C:/image forgery/real\Au_ani_20036.jpg,1
C:/image forgery/real\Au_ani_20037.jpg,1
C:/image forgery/real\Au_ani_20038.jpg,1
C:/image forgery/real\Au_ani_20039.jpg,1
C:/image forgery/real\Au_ani_20040.jpg,1
C:/image forgery/real\Au_ani_20041.jpg,1
C:/image forgery/real\Au_ani_20042.jpg,1
C:/image forgery/real\Au_ani_20043.jpg,1
C:/image forgery/real\Au_ani_20044.jpg,1
C:/image forgery/real\Au_ani_20045.jpg,1
C:/image forgery/real\Au_ani_20046.jpg,1
C:/image forgery/real\Au_ani_20047.jpg,1
C:/image forgery/real\Au_ani_20048.jpg,1
C:/image forgery/real\Au_ani_20049.jpg,1
C:/image forgery/real\Au_ani_20050.jpg,1
C:/image forgery/real\Au_ani_20051.jpg,1
C:/image forgery/real\Au_ani_20052.jpg,1
C:/image forgery/real\Au_ani_20053.jpg,1
C:/image forgery/real\Au_ani_20054.jpg,1
C:/image forgery/real\Au_ani_20055.jpg,1
C:/image forgery/real\Au_ani_20056.jpg,1
C:/image forgery/real\Au_ani_20057.jpg,1
C:/image forgery/real\Au_ani_20058.jpg,1
C:/image forgery/real\Au_ani_20059.jpg,1
C:/image forgery/real\Au_ani_20060.jpg,1
C:/image forgery/real\Au_ani_20061.jpg,1
C:/image forgery/real\Au_ani_20062.jpg,1
C:/image forgery/real\Au_ani_20063.jpg,1
C:/image forgery/real\Au_ani_20064.jpg,1
C:/image forgery/real\Au_ani_20065.jpg,1
C:/image forgery/real\Au_ani_20066.jpg,1
C:/image forgery/real\Au_ani_20067.jpg,1
C:/image forgery/real\Au_ani_20068.jpg,1
C:/image forgery/real\Au_ani_20069.jpg,1
C:/image forgery/real\Au_ani_20070.jpg,1
C:/image forgery/real\Au_ani_30001.jpg,1
C:/image forgery/real\Au_ani_30002.jpg,1
C:/image forgery/real\Au_ani_30003.jpg,1
C:/image forgery/real\Au_ani_30004.jpg,1
C:/image forgery/real\Au_ani_30005.jpg,1
C:/image forgery/real\Au_ani_30006.jpg,1
C:/image forgery/real\Au_ani_30007.jpg,1
C:/image forgery/real\Au_ani_30008.jpg,1
C:/image forgery/real\Au_ani_30009.jpg,1
C:/image forgery/real\Au_ani_30010.jpg,1
C:/image forgery/real\Au_ani_30011.jpg,1
C:/image forgery/real\Au_ani_30012.jpg,1
C:/image forgery/real\Au_ani_30013.jpg,1
C:/image forgery/real\Au_ani_30014.jpg,1
C:/image forgery/real\Au_ani_30015.jpg,1
C:/image forgery/real\Au_ani_30016.jpg,1
C:/image forgery/real\Au_ani_30017.jpg,1
C:/image forgery/real\Au_ani_30018.jpg,1
C:/image forgery/real\Au_ani_30019.jpg,1
C:/image forgery/real\Au_ani_30020.jpg,1
C:/image forgery/real\Au_ani_30021.jpg,1
C:/image forgery/real\Au_ani_30022.jpg,1
C:/image forgery/real\Au_ani_30023.jpg,1
C:/image forgery/real\Au_ani_30024.jpg,1
C:/image forgery/real\Au_ani_30025.jpg,1
C:/image forgery/real\Au_ani_30026.jpg,1
C:/image forgery/real\Au_ani_30027.jpg,1
C:/image forgery/real\Au_ani_30028.jpg,1
C:/image forgery/real\Au_ani_30029.jpg,1
C:/image forgery/real\Au_ani_30030.jpg,1
C:/image forgery/real\Au_ani_30031.jpg,1
C:/image forgery/real\Au_ani_30032.jpg,1
C:/image forgery/real\Au_ani_30033.jpg,1
C:/image forgery/real\Au_ani_30034.jpg,1
C:/image forgery/real\Au_ani_30035.jpg,1
C:/image forgery/real\Au_ani_30036.jpg,1
C:/image forgery/real\Au_ani_30037.jpg,1
C:/image forgery/real\Au_ani_30038.jpg,1
C:/image forgery/real\Au_ani_30039.jpg,1
C:/image forgery/real\Au_ani_30040.jpg,1
C:/image forgery/real\Au_ani_30041.jpg,1
C:/image forgery/real\Au_ani_30042.jpg,1
C:/image forgery/real\Au_ani_30043.jpg,1
C:/image forgery/real\Au_ani_30044.jpg,1
C:/image forgery/real\Au_ani_30045.jpg,1
C:/image forgery/real\Au_ani_30046.jpg,1
C:/image forgery/real\Au_ani_30047.jpg,1
C:/image forgery/real\Au_ani_30048.jpg,1
C:/image forgery/real\Au_ani_30049.jpg,1
C:/image forgery/real\Au_ani_30050.jpg,1
C:/image forgery/real\Au_ani_30051.jpg,1
C:/image forgery/real\Au_ani_30052.jpg,1
C:/image forgery/real\Au_ani_30053.jpg,1
C:/image forgery/real\Au_ani_30054.jpg,1
C:/image forgery/real\Au_ani_30055.jpg,1
C:/image forgery/real\Au_ani_30056.jpg,1
C:/image forgery/real\Au_ani_30057.jpg,1
C:/image forgery/real\Au_ani_30058.jpg,1
C:/image forgery/real\Au_ani_30059.jpg,1
C:/image forgery/real\Au_ani_30060.jpg,1
C:/image forgery/real\Au_ani_30061.jpg,1
C:/image forgery/real\Au_ani_30062.jpg,1
C:/image forgery/real\Au_ani_30063.jpg,1
C:/image forgery/real\Au_ani_30064.jpg,1
C:/image forgery/real\Au_ani_30065.jpg,1
C:/image forgery/real\Au_ani_30066.jpg,1
C:/image forgery/real\Au_ani_30067.jpg,1
C:/image forgery/real\Au_ani_30068.jpg,1
C:/image forgery/real\Au_ani_30069.jpg,1
C:/image forgery/real\Au_ani_30070.jpg,1
C:/image forgery/real\Au_ani_30071.jpg,1
C:/image forgery/real\Au_ani_30072.jpg,1
C:/image forgery/real\Au_ani_30073.jpg,1
C:/image forgery/real\Au_ani_30074.jpg,1
C:/image forgery/real\Au_ani_30075.jpg,1
C:/image forgery/real\Au_ani_30076.jpg,1
C:/image forgery/real\Au_ani_30077.jpg,1
C:/image forgery/real\Au_ani_30078.jpg,1
C:/image forgery/real\Au_ani_30079.jpg,1
C:/image forgery/real\Au_ani_30080.jpg,1
C:/image forgery/real\Au_ani_30081.jpg,1
C:/image forgery/real\Au_ani_30082.jpg,1
C:/image forgery/real\Au_ani_30083.jpg,1
C:/image forgery/real\Au_ani_30084.jpg,1
C:/image forgery/real\Au_ani_30085.jpg,1
C:/image forgery/real\Au_ani_30086.jpg,1
C:/image forgery/real\Au_ani_30087.jpg,1
C:/image forgery/real\Au_ani_30088.jpg,1
C:/image forgery/real\Au_ani_30089.jpg,1
C:/image forgery/real\Au_ani_30090.jpg,1
C:/image forgery/real\Au_ani_30091.jpg,1
C:/image forgery/real\Au_ani_30092.jpg,1
C:/image forgery/real\Au_ani_30093.jpg,1
C:/image forgery/real\Au_ani_30094.jpg,1
C:/image forgery/real\Au_ani_30095.jpg,1
C:/image forgery/real\Au_ani_30096.jpg,1
C:/image forgery/real\Au_ani_30097.jpg,1
C:/image forgery/real\Au_ani_30098.jpg,1
C:/image forgery/real\Au_ani_30099.jpg,1
C:/image forgery/real\Au_ani_30100.jpg,1
C:/image forgery/real\Au_ani_30101.jpg,1
C:/image forgery/real\Au_ani_30102.jpg,1
C:/image forgery/real\Au_ani_30103.jpg,1
C:/image forgery/real\Au_ani_30104.jpg,1
C:/image forgery/real\Au_ani_30105.jpg,1
C:/image forgery/real\Au_ani_30106.jpg,1
C:/image forgery/real\Au_ani_30107.jpg,1
C:/image forgery/real\Au_ani_30108.jpg,1
C:/image forgery/real\Au_ani_30109.jpg,1
C:/image forgery/real\Au_ani_30110.jpg,1
C:/image forgery/real\Au_ani_30111.jpg,1
C:/image forgery/real\Au_ani_30112.jpg,1
C:/image forgery/real\Au_ani_30113.jpg,1
C:/image forgery/real\Au_ani_30114.jpg,1
C:/image forgery/real\Au_ani_30115.jpg,1
C:/image forgery/real\Au_ani_30116.jpg,1
C:/image forgery/real\Au_ani_30117.jpg,1
C:/image forgery/real\Au_ani_30118.jpg,1
C:/image forgery/real\Au_ani_30119.jpg,1
C:/image forgery/real\Au_ani_30120.jpg,1
C:/image forgery/real\Au_ani_30121.jpg,1
C:/image forgery/real\Au_ani_30122.jpg,1
C:/image forgery/real\Au_ani_30123.jpg,1
C:/image forgery/real\Au_ani_30124.jpg,1
C:/image forgery/real\Au_ani_30125.jpg,1
C:/image forgery/real\Au_ani_30126.jpg,1
C:/image forgery/real\Au_ani_30127.jpg,1
C:/image forgery/real\Au_ani_30128.jpg,1
C:/image forgery/real\Au_ani_30129.jpg,1
C:/image forgery/real\Au_ani_30130.jpg,1
C:/image forgery/real\Au_ani_30131.jpg,1
C:/image forgery/real\Au_ani_30132.jpg,1
C:/image forgery/real\Au_ani_30133.jpg,1
C:/image forgery/real\Au_ani_30134.jpg,1
C:/image forgery/real\Au_ani_30135.jpg,1
C:/image forgery/real\Au_ani_30136.jpg,1
C:/image forgery/real\Au_ani_30137.jpg,1
C:/image forgery/real\Au_ani_30138.jpg,1
C:/image forgery/real\Au_ani_30139.jpg,1
C:/image forgery/real\Au_ani_30140.jpg,1
C:/image forgery/real\Au_ani_30141.jpg,1
C:/image forgery/real\Au_ani_30142.jpg,1
C:/image forgery/real\Au_ani_30143.jpg,1
C:/image forgery/real\Au_ani_30144.jpg,1
C:/image forgery/real\Au_ani_30145.jpg,1
C:/image forgery/real\Au_ani_30146.jpg,1
C:/image forgery/real\Au_ani_30147.jpg,1
C:/image forgery/real\Au_ani_30148.jpg,1
C:/image forgery/real\Au_ani_30149.jpg,1
C:/image forgery/real\Au_ani_30150.jpg,1
C:/image forgery/real\Au_ani_30151.jpg,1
C:/image forgery/real\Au_ani_30152.jpg,1
C:/image forgery/real\Au_ani_30153.jpg,1
C:/image forgery/real\Au_ani_30154.jpg,1
C:/image forgery/real\Au_ani_30155.jpg,1
C:/image forgery/real\Au_ani_30156.jpg,1
C:/image forgery/real\Au_ani_30157.jpg,1
C:/image forgery/real\Au_ani_30158.jpg,1
C:/image forgery/real\Au_ani_30159.jpg,1
C:/image forgery/real\Au_ani_30160.jpg,1
C:/image forgery/real\Au_ani_30161.jpg,1
C:/image forgery/real\Au_ani_30162.jpg,1
C:/image forgery/real\Au_ani_30163.jpg,1
C:/image forgery/real\Au_ani_30164.jpg,1
C:/image forgery/real\Au_ani_30165.jpg,1
C:/image forgery/real\Au_ani_30166.jpg,1
C:/image forgery/real\Au_ani_30167.jpg,1
C:/image forgery/real\Au_ani_30168.jpg,1
C:/image forgery/real\Au_ani_30169.jpg,1
C:/image forgery/real\Au_ani_30170.jpg,1
C:/image forgery/real\Au_ani_30171.jpg,1
C:/image forgery/real\Au_ani_30172.jpg,1
C:/image forgery/real\Au_ani_30173.jpg,1
C:/image forgery/real\Au_ani_30174.jpg,1
C:/image forgery/real\Au_ani_30175.jpg,1
C:/image forgery/real\Au_ani_30176.jpg,1
C:/image forgery/real\Au_ani_30177.jpg,1
C:/image forgery/real\Au_ani_30178.jpg,1
C:/image forgery/real\Au_ani_30179.jpg,1
C:/image forgery/real\Au_ani_30180.jpg,1
C:/image forgery/real\Au_ani_30181.jpg,1
C:/image forgery/real\Au_ani_30182.jpg,1
C:/image forgery/real\Au_ani_30183.jpg,1
C:/image forgery/real\Au_ani_30184.jpg,1
C:/image forgery/real\Au_ani_30185.jpg,1
C:/image forgery/real\Au_ani_30186.jpg,1
C:/image forgery/real\Au_ani_30187.jpg,1
C:/image forgery/real\Au_ani_30188.jpg,1
C:/image forgery/real\Au_ani_30189.jpg,1
C:/image forgery/real\Au_ani_30190.jpg,1
C:/image forgery/real\Au_ani_30191.jpg,1
C:/image forgery/real\Au_ani_30192.jpg,1
C:/image forgery/real\Au_ani_30193.jpg,1
C:/image forgery/real\Au_ani_30194.jpg,1
C:/image forgery/real\Au_ani_30195.jpg,1
C:/image forgery/real\Au_ani_30196.jpg,1
C:/image forgery/real\Au_ani_30197.jpg,1
C:/image forgery/real\Au_ani_30198.jpg,1
C:/image forgery/real\Au_ani_30199.jpg,1
C:/image forgery/real\Au_ani_30200.jpg,1
C:/image forgery/real\Au_ani_30201.jpg,1
C:/image forgery/real\Au_ani_30202.jpg,1
C:/image forgery/real\Au_ani_30203.jpg,1
C:/image forgery/real\Au_ani_30204.jpg,1
C:/image forgery/real\Au_ani_30205.jpg,1
C:/image forgery/real\Au_ani_30206.jpg,1
C:/image forgery/real\Au_ani_30207.jpg,1
C:/image forgery/real\Au_ani_30208.jpg,1
C:/image forgery/real\Au_ani_30209.jpg,1
C:/image forgery/real\Au_ani_30210.jpg,1
C:/image forgery/real\Au_ani_30211.jpg,1
C:/image forgery/real\Au_ani_30212.jpg,1
C:/image forgery/real\Au_ani_30213.jpg,1
C:/image forgery/real\Au_ani_30214.jpg,1
C:/image forgery/real\Au_ani_30215.jpg,1
C:/image forgery/real\Au_ani_30216.jpg,1
C:/image forgery/real\Au_ani_30217.jpg,1
C:/image forgery/real\Au_ani_30218.jpg,1
C:/image forgery/real\Au_ani_30219.jpg,1
C:/image forgery/real\Au_ani_30220.jpg,1
C:/image forgery/real\Au_ani_30221.jpg,1
C:/image forgery/real\Au_ani_30222.jpg,1
C:/image forgery/real\Au_ani_30223.jpg,1
C:/image forgery/real\Au_ani_30224.jpg,1
C:/image forgery/real\Au_ani_30225.jpg,1
C:/image forgery/real\Au_ani_30226.jpg,1
C:/image forgery/real\Au_ani_30227.jpg,1
C:/image forgery/real\Au_ani_30228.jpg,1
C:/image forgery/real\Au_ani_30229.jpg,1
C:/image forgery/real\Au_ani_30230.jpg,1
C:/image forgery/real\Au_ani_30231.jpg,1
C:/image forgery/real\Au_ani_30232.jpg,1
C:/image forgery/real\Au_ani_30233.jpg,1
C:/image forgery/real\Au_ani_30234.jpg,1
C:/image forgery/real\Au_ani_30235.jpg,1
C:/image forgery/real\Au_ani_30236.jpg,1
C:/image forgery/real\Au_ani_30237.jpg,1
C:/image forgery/real\Au_ani_30238.jpg,1
C:/image forgery/real\Au_ani_30239.jpg,1
C:/image forgery/real\Au_ani_30240.jpg,1
C:/image forgery/real\Au_ani_30241.jpg,1
C:/image forgery/real\Au_ani_30242.jpg,1
C:/image forgery/real\Au_ani_30243.jpg,1
C:/image forgery/real\Au_ani_30244.jpg,1
C:/image forgery/real\Au_ani_30245.jpg,1
C:/image forgery/real\Au_ani_30246.jpg,1
C:/image forgery/real\Au_ani_30247.jpg,1
C:/image forgery/real\Au_ani_30248.jpg,1
C:/image forgery/real\Au_ani_30249.jpg,1
C:/image forgery/real\Au_ani_30250.jpg,1
C:/image forgery/real\Au_ani_30251.jpg,1
C:/image forgery/real\Au_ani_30252.jpg,1
C:/image forgery/real\Au_ani_30253.jpg,1
C:/image forgery/real\Au_ani_30254.jpg,1
C:/image forgery/real\Au_ani_30255.jpg,1
C:/image forgery/real\Au_ani_30256.jpg,1
C:/image forgery/real\Au_ani_30257.jpg,1
C:/image forgery/real\Au_ani_30258.jpg,1
C:/image forgery/real\Au_ani_30259.jpg,1
C:/image forgery/real\Au_ani_30260.jpg,1
C:/image forgery/real\Au_ani_30261.jpg,1
